epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7254,1.71241,3.18757,1.78704,0.48816,0.1831,0.2928,0.14006,1.72469,2.83587,1.78764,0.000412326,0.000412326,0.000412326
2,43.6933,1.78563,2.65956,1.82497,0.42806,0.33581,0.19768,0.07386,2.13272,2.79889,2.23141,0.000812579,0.000812579,0.000812579
3,61.0343,1.75136,2.4918,1.79595,0.53649,0.30662,0.24962,0.102,2.01647,3.17918,2.02562,0.00119633,0.00119633,0.00119633
4,77.2732,1.72536,2.51085,1.81028,0.30625,0.43284,0.32218,0.13261,2.04601,3.09946,2.10706,0.00117575,0.00117575,0.00117575
5,93.564,1.77088,2.5078,1.85425,0.3733,0.35482,0.3037,0.14203,2.02945,2.57945,2.13848,0.001151,0.001151,0.001151
6,109.79,1.708,2.40276,1.79716,0.25758,0.40596,0.27125,0.11421,2.05784,2.41746,2.0809,0.00112625,0.00112625,0.00112625
7,126.065,1.75933,2.43961,1.83136,0.46768,0.46139,0.43179,0.19936,1.88385,2.28172,1.87266,0.0011015,0.0011015,0.0011015
8,142.341,1.66807,2.35045,1.78056,0.26136,0.47351,0.33689,0.14866,1.93035,2.2922,1.97713,0.00107675,0.00107675,0.00107675
9,158.611,1.66043,2.31104,1.76228,0.43613,0.43116,0.4215,0.21398,1.88068,2.27678,1.94832,0.001052,0.001052,0.001052
10,174.941,1.63253,2.19296,1.73543,0.40982,0.38669,0.38952,0.20429,1.87779,2.28183,1.99866,0.00102725,0.00102725,0.00102725
11,191.174,1.68856,2.28084,1.7837,0.55524,0.46687,0.53211,0.25212,1.86603,2.13513,1.92607,0.0010025,0.0010025,0.0010025
12,207.431,1.64351,2.26671,1.75626,0.5367,0.35824,0.46197,0.25572,1.8195,2.11055,1.88632,0.00097775,0.00097775,0.00097775
13,223.6,1.59028,2.17297,1.70638,0.35899,0.57042,0.46152,0.24842,1.86238,2.20052,1.9089,0.000953,0.000953,0.000953
14,239.764,1.58712,2.18965,1.69551,0.4586,0.48505,0.4988,0.26014,1.75192,2.10564,1.84678,0.00092825,0.00092825,0.00092825
15,256.07,1.58494,2.10555,1.68089,0.50934,0.47739,0.47731,0.25204,1.77054,1.94697,1.82652,0.0009035,0.0009035,0.0009035
16,272.191,1.56837,2.08684,1.66524,0.53406,0.48088,0.52299,0.29155,1.83864,1.97685,1.84547,0.00087875,0.00087875,0.00087875
17,288.47,1.5572,2.03062,1.65562,0.72227,0.32376,0.49762,0.2849,1.73558,1.94815,1.77872,0.000854,0.000854,0.000854
18,304.643,1.51822,2.05798,1.64303,0.55387,0.43494,0.50284,0.28651,1.7428,1.92502,1.79173,0.00082925,0.00082925,0.00082925
19,320.949,1.49462,1.97421,1.62877,0.39312,0.50035,0.41051,0.22206,1.75625,1.96228,1.83293,0.0008045,0.0008045,0.0008045
20,337.098,1.48934,1.96161,1.62772,0.49971,0.50699,0.48965,0.25925,1.7124,1.88775,1.79253,0.00077975,0.00077975,0.00077975
21,353.329,1.47777,2.0012,1.62514,0.6376,0.41859,0.53191,0.28151,1.74595,1.89825,1.81065,0.000755,0.000755,0.000755
22,369.504,1.48125,1.93985,1.62281,0.49032,0.5625,0.56663,0.30384,1.69679,1.86946,1.78847,0.00073025,0.00073025,0.00073025
23,385.717,1.45452,1.95916,1.58176,0.43937,0.59706,0.57056,0.30364,1.67175,1.83497,1.74017,0.0007055,0.0007055,0.0007055
24,401.847,1.45724,1.97614,1.61188,0.60472,0.46426,0.57159,0.31234,1.60669,1.792,1.70201,0.00068075,0.00068075,0.00068075
25,418.112,1.42698,1.89947,1.57436,0.48574,0.53041,0.51553,0.27755,1.69188,1.9018,1.74515,0.000656,0.000656,0.000656
26,434.266,1.41422,1.87254,1.5692,0.49725,0.5744,0.5552,0.31734,1.62907,1.75143,1.69735,0.00063125,0.00063125,0.00063125
27,450.523,1.42106,1.88724,1.58798,0.50865,0.54107,0.53869,0.27517,1.72448,1.88518,1.79109,0.0006065,0.0006065,0.0006065
28,466.778,1.42779,1.84152,1.58332,0.60727,0.49268,0.56329,0.30733,1.66856,1.77332,1.79609,0.00058175,0.00058175,0.00058175
29,483.084,1.37328,1.82297,1.55187,0.55362,0.56466,0.56267,0.29794,1.63666,1.70938,1.71232,0.000557,0.000557,0.000557
30,499.47,1.37478,1.79796,1.54306,0.58029,0.57809,0.56509,0.31999,1.62433,1.68993,1.6933,0.00053225,0.00053225,0.00053225
31,515.696,1.35106,1.76916,1.5179,0.47459,0.57853,0.58374,0.323,1.65182,1.75857,1.7528,0.0005075,0.0005075,0.0005075
32,532.132,1.35231,1.73476,1.52222,0.54325,0.56159,0.58851,0.34548,1.66441,1.66031,1.74656,0.00048275,0.00048275,0.00048275
33,549.194,1.34487,1.74636,1.51894,0.68511,0.49836,0.58386,0.33966,1.64097,1.64013,1.72544,0.000458,0.000458,0.000458
34,566.404,1.33128,1.74784,1.50342,0.54703,0.54538,0.57705,0.33065,1.62886,1.68381,1.72978,0.00043325,0.00043325,0.00043325
35,582.609,1.32803,1.73529,1.52405,0.50417,0.62052,0.59067,0.36339,1.58104,1.63787,1.68078,0.0004085,0.0004085,0.0004085
36,598.917,1.31465,1.69463,1.50184,0.57986,0.58406,0.60079,0.36443,1.5686,1.66743,1.67752,0.00038375,0.00038375,0.00038375
37,615.29,1.28257,1.63941,1.47741,0.51244,0.60718,0.61211,0.36054,1.56345,1.61974,1.66164,0.000359,0.000359,0.000359
38,631.467,1.3047,1.68346,1.50103,0.54705,0.54943,0.56361,0.31896,1.63708,1.72647,1.70808,0.00033425,0.00033425,0.00033425
39,647.758,1.27896,1.65548,1.48081,0.44304,0.63023,0.5994,0.35588,1.59787,1.65667,1.69669,0.0003095,0.0003095,0.0003095
40,663.885,1.24482,1.55729,1.45585,0.63457,0.48651,0.58686,0.34097,1.58793,1.60184,1.7025,0.00028475,0.00028475,0.00028475
41,680.758,1.24384,1.65836,1.48936,0.59627,0.56365,0.58264,0.3233,1.64833,1.7081,1.72261,0.00026,0.00026,0.00026
42,696.882,1.24883,1.62395,1.4824,0.54814,0.55212,0.5841,0.34758,1.55863,1.66354,1.64659,0.00023525,0.00023525,0.00023525
43,712.992,1.18234,1.53871,1.45852,0.68797,0.4893,0.59205,0.35859,1.55415,1.57384,1.65833,0.0002105,0.0002105,0.0002105
44,729.123,1.21227,1.54063,1.47851,0.71232,0.45944,0.59236,0.34845,1.56206,1.61738,1.65847,0.00018575,0.00018575,0.00018575
