epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.501,1.75768,3.24694,1.80991,0.18229,0.33205,0.19153,0.0788,1.8698,2.79298,1.97774,0.000414497,0.000414497,0.000414497
2,66.0756,1.74329,2.7567,1.80697,0.26919,0.45194,0.27924,0.1384,2.09708,2.91807,2.2265,0.000825678,0.000825678,0.000825678
3,96.2736,1.8081,2.72478,1.88685,0.17524,0.39383,0.16757,0.06469,2.13728,3.05506,2.17501,0.00123136,0.00123136,0.00123136
4,126.587,1.88932,2.80256,1.93731,0.20259,0.45892,0.22668,0.10519,1.96381,2.79704,2.03035,0.00122525,0.00122525,0.00122525
5,156.395,1.89377,2.66747,1.89392,0.24028,0.42294,0.26372,0.12814,2.01168,2.56358,2.01839,0.001217,0.001217,0.001217
6,185.944,1.82707,2.6834,1.89838,0.30675,0.37376,0.18552,0.08227,2.06146,2.83493,2.11641,0.00120875,0.00120875,0.00120875
7,214.988,1.82724,2.68239,1.90169,0.2266,0.33812,0.21029,0.09467,2.0571,2.71466,2.09025,0.0012005,0.0012005,0.0012005
8,244.341,1.79642,2.60503,1.88469,0.46314,0.34761,0.31768,0.15844,1.94403,2.47514,1.99404,0.00119225,0.00119225,0.00119225
9,274.915,1.78255,2.59837,1.86894,0.21345,0.37763,0.22442,0.09905,1.96961,3.26539,2.08943,0.001184,0.001184,0.001184
10,306.732,1.80798,2.53977,1.88348,0.3395,0.35524,0.27671,0.13002,1.90036,2.73577,2.00466,0.00117575,0.00117575,0.00117575
11,336.962,1.72122,2.46518,1.81384,0.34273,0.44527,0.31493,0.14256,1.98199,2.48694,2.0897,0.0011675,0.0011675,0.0011675
12,367.119,1.74393,2.53111,1.84853,0.27645,0.47524,0.28183,0.12247,1.98398,2.47005,1.99859,0.00115925,0.00115925,0.00115925
13,396.909,1.73511,2.46966,1.82733,0.3116,0.37782,0.29353,0.14308,1.91393,2.42365,1.95678,0.001151,0.001151,0.001151
